"family","species","trait","trait_value","error_risk_overall","error_risk_family","error_risk_genus","source"
"Acanthaceae","Crabbea velutina","LDMC",0.327807500383933,0.818727100138828,0.320060584575036,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","SLA",16.3905587721095,-0.186923413572116,-0.0623142936420873,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","SRL",7424.07674336323,0.0569233901818855,1.04610688925572,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_N",17.5442982283408,-0.67508693148258,-0.395959416167038,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_area",676.729740413612,0.504648083232804,-0.330824254178659,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_dry_mass",35.5883689189064,0.424554720092883,-0.567745641849695,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","plant_height_vegetative",0.312426209927305,0.00786230720765447,-0.638786154269265,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","seed_dry_mass",2.05728712017874,0.549504564383871,-1.03157056674941,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","LDMC",0.347284419505468,0.965589174958584,1.88374088775496,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","SLA",14.5969738513319,-0.444077230896515,-1.93813467737057,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","SRL",5827.42559267747,-0.161460056759421,0.53845835318676,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_N",24.0203209848403,0.304724645105927,2.00400618609364,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_area",484.535188889032,0.299948559659778,-1.80351561388286,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_dry_mass",27.7071681758708,0.287863974602211,-1.72456552894548,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","plant_height_vegetative",0.339019031648712,0.0932258177261576,0.160178085332598,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","seed_dry_mass",3.19414908823207,0.812532450216567,0.38457681766273,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","LDMC",0.318172020641675,0.742813677584398,-0.48821019425622,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","SLA",16.5750895974266,-0.162081550065817,0.118895825732232,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","SRL",6908.56039270867,-0.00797942988562644,0.895235465365816,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_N",18.3369489870619,-0.537273596160372,-0.0583973050336866,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_area",787.473002600437,0.597510528896729,0.337265827239999,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_dry_mass",42.5806754901305,0.522505570572079,0.261216782676779,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","plant_height_vegetative",0.356870742992372,0.146852267796913,0.662097648423214,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","seed_dry_mass",3.4897474382513,0.865450200489325,0.669487040776516,NA,"Imputed Value"
"Acanthaceae","Ruellia humilis","LDMC",0.318950244049689,0.749029713159979,-0.422026379235692,0.588508259040151,"Imputed Value"
"Acanthaceae","Ruellia humilis","SLA",17.2568010465347,-0.0726469765526595,0.771280448101694,0.954991528058589,"Imputed Value"
"Acanthaceae","Ruellia humilis","SRL",2165.61750261335,-1.05416494553164,-1.53670043871846,-1.14855996829646,"Imputed Value"
"Acanthaceae","Ruellia humilis","leaf_N",17.1787168304397,-0.740760246832704,-0.556820648665937,-0.373150480941834,"Imputed Value"
"Acanthaceae","Ruellia humilis","leaf_area",935.40365187496,0.702990135468066,1.09612887934276,1.05073859850568,"Imputed Value"
"Acanthaceae","Ruellia humilis","leaf_dry_mass",49.6435495516645,0.606306309852223,0.970426183829801,0.813433993977596,"Imputed Value"
"Acanthaceae","Ruellia humilis","plant_height_vegetative",0.390400562906402,0.240692478950299,1.54040001078906,1.11630923234196,"Imputed Value"
"Acanthaceae","Ruellia humilis","seed_dry_mass",4.05227958568932,0.954803841712024,1.15056882761684,0.896195009621606,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","LDMC",0.318883143439586,0.748494346909745,-0.427726568760494,0.566119929701348,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","SLA",16.9388932921086,-0.113905581575462,0.470317650383069,-1.03962865401371,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","SRL",3710.49693991344,-0.568559539462386,-0.407874619037703,0.677272699522287,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","leaf_N",17.0851425122865,-0.757794680722883,-0.598545054018194,-0.75976985458142,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","leaf_area",755.454836619659,0.57207697643898,0.154286539856618,-0.940051464540597,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","leaf_dry_mass",42.7017400854295,0.524055879094531,0.274337112977626,-1.11646614498494,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","plant_height_vegetative",0.294135955253577,-0.0551783119924384,-1.22881812550966,-0.813869835391648,"Imputed Value"
"Acanthaceae","Ruellia nudiflora","seed_dry_mass",1.83402010330133,0.480821131282119,-1.40136354072085,-1.078673335736,"Imputed Value"
"Acanthaceae","Ruellia patula","LDMC",0.313767861493898,0.707346548258628,-0.865838330077583,-1.1546281887415,"Imputed Value"
"Acanthaceae","Ruellia patula","SLA",17.1173544933676,-0.0906502078590499,0.639955046795658,0.0846371259551802,"Imputed Value"
"Acanthaceae","Ruellia patula","SRL",3491.80293654148,-0.623344208674316,-0.535225650052123,0.471287268774178,"Imputed Value"
"Acanthaceae","Ruellia patula","leaf_N",17.5481470632502,-0.67440282786663,-0.394283762208775,1.13292033552329,"Imputed Value"
"Acanthaceae","Ruellia patula","leaf_area",825.781419373458,0.626615476764597,0.546658621622151,-0.110687133965081,"Imputed Value"
"Acanthaceae","Ruellia patula","leaf_dry_mass",47.7047787734233,0.584553489280693,0.786331091310972,0.303032151007333,"Imputed Value"
"Acanthaceae","Ruellia patula","plant_height_vegetative",0.317050805892453,0.023217175174202,-0.49507146476595,-0.302439396950314,"Imputed Value"
"Acanthaceae","Ruellia patula","seed_dry_mass",3.042784568923,0.783506666929197,0.22830142141418,0.182478326114389,"Imputed Value"
"Acoraceae","Acorus calamus","LDMC",0.194213584257623,-0.513235242081699,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","SLA",36.4635665427926,1.58734582264721,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","SRL",54194.9461138738,1.84965589987627,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","leaf_N",17.9764216583843,-0.599202320052092,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","leaf_area",8244.91780832313,2.03650356497416,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","leaf_dry_mass",513.848375592824,1.88245125598654,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","plant_height_vegetative",1.12564914387633,1.34728180844737,NA,NA,"Imputed Value"
"Acoraceae","Acorus calamus","seed_dry_mass",2.08545863413677,0.557636132435437,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","LDMC",0.147398761262669,-1.21505030999988,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","SLA",33.7558661053227,1.41613507496504,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","SRL",3715.50268169481,-0.567343707858456,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","leaf_N",18.6737057333329,-0.480518122149808,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","leaf_area",1090.69446306725,0.797099256282012,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","leaf_dry_mass",40.7724356550673,0.498810252547231,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","plant_height_vegetative",6.03918319600198,3.10277878240658,NA,NA,"Imputed Value"
"Adoxaceae","Viburnum nudum","seed_dry_mass",10.6013801198805,1.52979001622422,NA,NA,"Imputed Value"
"Aizoaceae","Aizoon canariense","LDMC",0.0796193107914836,-2.78216700984953,0.893857425896525,NA,"Imputed Value"
"Aizoaceae","Aizoon canariense","SLA",18.4803085997703,0.0793480340282487,-0.97784304401415,NA,"Imputed Value"
"Aizoaceae","Aizoon canariense","SRL",12329.3289508393,0.514384409195976,-0.188366997283817,NA,"Imputed Value"
